CLIENTE,ORDEN DE PIORIDAD,CONTACTADO (SI/NO),RESPUESTA SI/NO,ESTADO,LICITA (SI/NO),VIANDA/COMEDOR,PROVEEDOR ACTUAL,FECHA VOLVER A CONTACTAR,FECHA ULTIMO CONTACTO,CONTACTO PERSONAL,MAIL,CELULAR,nombre,CALENDARIZADO,COMENTARIOS,LOCALIDAD,DIRECCIÓN / REFERENCIA,FUENTE,OBSERVACIONES DEL RELEVAMIENTO,TIPO DE CORREO
MARCHI DEPOT,,,,,,,,,,,administracion@marchidepotsa.com.ar,,,,,Fray Luis Beltrán,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MARANO SERVICIOS,,,,,,,,,,,mssteelframing@gmail.com,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas | https://www.ventilarsa.com.ar/,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,Contacto general
MANUFACTURING ENGINEERING FANTONI ALEJANDRO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas | https://www.williamsagroservicios.com.ar/contacto/,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,RR.HH.
MAN INGENIERIA,,,,,,,,,,,contacto@maningenieria.ar,,,,,San Lorenzo,AUT.ARAMBURU KM 280.5-COL.OEST,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Maincal,,,,,,,,,,,contacto@maincal.com.ar,,,,,Pérez,JOAQUIN V. GONZALEZ 049,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
MADERO CONSTRUCCIONES S.R.L.,,,,,,,,,,,contacto@grupomadero.com.ar,,,,,Rosario,LATZINA 3030,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LTA MOTORS,,,,,,,,,,,,,,,,Rosario,AV. PROVINCIAS UNIDAS 193 BIS,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LOS TANOS AGROSERVICIOS,,,,,,,,,,,info@lostanosagro.com,,,,,San Lorenzo,CORRIENTES 861-P.6-OF.1,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LONERA CENTENARIO,,,,,,,,,,,loneracentenario@gmail.com,,,,,Puerto Gral. San Martín,LAPRIDA 4617,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LOGISTICA CUYO S.A.,,,,,,,,,,,,,,,,San Lorenzo,ZEBALLOS 2586,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Logimet,,,,,,,,,,,ventas@logimet.com.ar,,,,,Pérez,SUIPACHA 888,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Loberaz S.A.,,,,,,,,,,,loberaz@loberaz.com.ar,,,,,Ramallo / COMIRSA,PJE.GRAL.MANUEL SAVIO 1115,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LLANEADOS ROSARIO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,PEDRO VITTORI N° 4173,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
limpito,1,NO,,VIANDAS,,,,,,,,,,,,,ZEBALLOS 1840 - P. 1,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Liliana,1,NO,,COMEDOR,,,,,,,Mcazorla@liliana.com.ar,,,,,,BV. RONDEAU 812,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LEGALES FLORES PIAZZA,,,,,,,,,,,abogadaflorespiazza@gmail.com,,,,,San Lorenzo,RIO DE JANEIRO 855,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LAROMET S.A.,,,,,,,,,,,licitaciones@laromet.com.ar,,,,,Rosario,LAPRIDA 4593 -P.1-OF. 2,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Laboratorio Quimeco SRL,,,,,,,,,,,administracion@quimeco.com.ar,,,,,Pérez,ITALIA 647 P.4 DPTO.D,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
la virginia,1,SI,,VIANDAS,,,,,,,,3413364450,EDUARDO,,,,AV. CANDIDO CARBALLO 183 P4 O4,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
LA CASA DE LA CONSTRUCCIÓN S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,BV. SEGUI 2551,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
KRONE S.A.,,,,,,,,,,,,,,,,San Lorenzo,PRESIDENTE ROCA N 825 P.3 D.3,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Juan Navarro SA,,,,,,,,,,,rosario@jnavarro.com.ar,,,,,Pérez,ENTRE RIOS 2157,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
IZUCO S.A.,,,,,,,,,,,,,,,,San Lorenzo,REGIMIENTO 11 NRO. 766,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Ivanar,1,SI,NO,,,,,,,,compras@ivanar.com.ar,,,,,,AV.MADRES P.DE MAYO 3020-P.11,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
ISA INDEPENDENT SHIP AGENTS,,,,,,,,,,,isa@isa-agents.com.ar,,,,,San Lorenzo,AUT ARAMBURU R9 KM 280,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
IRT,,,,,,,,,,,sanlorenzo@irt.com.ar,,,,,San Lorenzo,BV. SEGUI 4037,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INGENIERIA Y SERVICIOS DELGADO S.A.,,,,,,,,,,,ingyserv.sa@gmail.com,,,,,Rosario,SAN LORENZO 722,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INGENIERÍA UNO,,,,,,,,,,,administracion@ingenieriauno.com.ar,,,,,Rosario,ISABEL LA CATOLICA 4360,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INGENIERÍA BOGGIO S.A.,,,,,,,,,,,sanlorenzo@ingenieriaboggio.com.ar,,,,,San Lorenzo,CANDIDO CARBALLO 158 P6 DPTO C,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INGENIERIA & PILOTES S.R.L.,,,,,,,,,,,licitaciones@ingenieriaypilotes.com.ar,,,,,Rosario,GUEMES 3027,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
ING. RINALDI Y ASOC. S.A,,,,,,,,,,,milagros@rinaldiconstrucciones.com,,,,,Rosario,3 DE FEBRERO 2810 - PISO 1,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
ING. PELLEGINET S.A.,,,,,,,,,,,,,,,,San Lorenzo,AV.M.PLAZA DE MAYO 3020-P.5-D2,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
ING. PEDRO MINERVINO S.A.,,,,,,,,,,,administracion@minervinosa.com.ar,,,,,Rosario,PARAGUAY 2586 - P.B.,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INFYA SRL,,,,,,,,,,,administracion@infyasrl.com.ar,,,,,Pérez,LOS CEDROS 1314,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INDUSTRIAS SECCO,1,NO,,,,,,,,,,,,,,,RUEDA 755,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
INDUSOIL SERRVICIOS S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,MONTEVIDEO 3855,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
IMG RENTAL,,,,,,,,,,,comercial@imgrental.com.ar,,,,,San Lorenzo,GORRITI 7447,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
IMEI INGLES,,,,,,,,,,,imeiingles@yahoo.com.ar,,,,,San Lorenzo,SARMIENTO 819-P 11,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
IMCO CONSTRUCTORA S.R.L.,,,,,,,,,,,gerencia@imcoconstructora.com,,,,,Rosario,SARMIENTO 1031 - P. 6 DPTO. B,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
ICS CONSULTORIA INDUSTRIAL,,,,,,,,,,,,,,,,Capitán Bermúdez,MITRE 275 - P.B.,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
HORMIGONERA DEL LITORAL S.A.,,,,,,,,,,,ing.jquiroga@gmail.com,,,,,Rosario,AV.PELLEGRINI 1615,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
HERNANDEZ Y BAGNERES,,,,,,,,,,,mgatti@hernandez-bagneres.com.ar,,,,,Rosario,JUAN PABLO II N 655,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Comercial / compras
HEREDIA PREMOLDEADOS,,,,,,,,,,,,,,,,San Lorenzo,CASTELLANOS 1135,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
HEFU Argentina,,,,,,,,,,,administracion@hefuargentina.com.ar,,,,,Pérez,1RO DE MAYO 1869,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Comercial / compras
Hefesto SRL,,,,,,,,,,,hefesto@arnet.com.ar,,,,,Pérez,BV. RONDEAU 2835,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
HECTOR GERMÁN LARRAYA S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,BOULEVARD ORO O 4522 - DPTO. D,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
HARDFACING S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,BIEDMA N 3424 - ROSARIO,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GUERRERO – PAGODA,,,,,,,,,,,ventas474@guerrero.com.ar,,,,,San Lorenzo,GARZON 2677,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GTM,,,,,,,,,,,Info@gtmsrl.com.ar,,,,,Alvear,MORENO 2541,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Grupo Rosario Máquinas,,,,,,,,,,,info@gruporm.com.ar,,,,,Piñero,RUTA AO 12 Y RUTA 11 NRO.145,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf | https://www.peitel.com.ar/Contacto.html,Domicilio declarado en padrón provincial (abril 2026); correo público verificado,Contacto general
Grupo Oroño,,,,,,,,,,,info@grupoorono.com.ar,,,,,Rosario,PASAJE APIPE 6882,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Grupo La Emilia / Motomel,,,,,,,,,,,responde@motomel.com.ar,,,,,La Emilia (San Nicolás),9 DE JULIO 901 - PA,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GRUPO DH,,,,,,,,,,,info@dhsh.com.ar,,,,,Capitán Bermúdez,IGUAZU 451 BIS-B.INDUSTRIAL,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GRUPO DELCO S.R.L.,,,,,,,,,,,delco@delcosrl.com.ar,,,,,Rosario,JUAN MANUEL DE ROSAS 2453,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GRUPO BRAYCO,,,,,,,,,,,info@brayco.com.ar,,,,,San Lorenzo,RIOJA 1275,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Comercial / compras
GRUPO AMZ,,,,,,,,,,,amzrescate@gmail.com,,,,,Granadero Baigorria,JOSE MARIA ROSA NRO 1071-BIS,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GRIMACO S.R.L.,,,,,,,,,,,eduardoraffo@grimaco.com.ar,,,,,Rosario,PJE. ESCOCIA 323 BIS,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GREEN LAB,,,,,,,,,,,hola@greenlab.com.ar,,,,,Rosario,JUAN M. ROSAS 1017,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GRAMMATICO SERVICIOS,,,,,,,,,,,info@grammatico.com.ar,,,,,San Lorenzo,RUTA PROV.21-KM.7-PAR.116/117,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GLOBBAL MILLS S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,PEDRO VITTORI N° 4173,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GLOBAL ACCELERATOR S.R.L.,,,,,,,,,,,acceleratorglobal@gmail.com,,,,,Rosario,SANTA FE 1211 - P.14 - OF. 1,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GIER S.R.L.,,,,,,,,,,,,,,,,Piñero,RIOBAMBA 1349 - P. 2 A,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Gerdau — Planta Pérez,,,,,,,,,,,gerdauventas@gerdau.com,,,,,Pérez,RUTA AO 12 KM 65,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
GENTE DE RÍO SERVICIOS FLUVIALES,,,,,,,,,,,ops@gentederio.com.ar,,,,,San Lorenzo,MAIPU 2263,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
Gemplast / Geminelli S.A.,,,,,,,,,,,info@gemplast.com.ar,,,,,Pérez,"De La Cruz Strazza 6347, Funes",https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
GEK EXCAVACIONES,,,,,,,,,,,contacto@gekexcavaciones.com.ar,,,,,Fray Luis Beltrán,"Av. San Lorenzo 535, local 6 – Capitán Bermúdez",https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FYO,3,NO,,,NO,,,,,,,3416114868,federico,,,,Berón de Astrada 930 – San lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,"Directorio Cámara San Lorenzo; tamaño a validar; correo publicado con dominio inválido, verificar",Sin correo público
FUNDEMAP,,,,,,,,,,,rrhh@fundemap.com.ar,,,,,San Lorenzo,G. Araoz de Lamadrid 129 – San Lorenzo –,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FUGRAN,,,,,,,,,,,rr.hh@fugran.com,,,,,Puerto General San Martín,Av. San Lorenzo 59 Bis – Capitán Bermúdez (transporte) – Av. Los Plátanos 215 – Capitán Bermúdez (depósito).,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Freschi,,,,,,,,,,,gpfreschi@yahoo.com.ar,,,,,Pérez,Cullen 1744 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Freplast SRL,,,,,,,,,,,ventas@freplast.com.ar,,,,,Pérez,Ingeniero White 237 –  San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Fremec,,,,,,,,,,,ventas@fremec.com.ar,,,,,Pérez,Juan B Justo 1520 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FREIJE Y FREIJE CONSTRUCTORA,,,,,,,,,,,proveedoresfreije@freijeyfreijeconstructorasrl.com,,,,,Capitán Bermúdez,Santa Fe 156 –  Puerto General San Martín,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FRANCAR,,,,,,,,,,,francar.productosindustriales@gmail.com,,,,,San Lorenzo,3 de Febrero 2498 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FRANBE S.A.,,,,,,,,,,,memiliasanti@hotmail.com,,,,,Rosario,Perú 734 – Capitán Bermúdez,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Comercial / compras
FLEXIO,1,NO,,Presupuesto,,,,,,,personal@flexio.com.ar,,,,,,Richieri 564 – piso 2 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FIUME,1,NO,,,NO,,,,,,,,,,,,Av. Ovidio Lagos 502- Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
FEGA S.A.,,,,,,,,,,,patriciaamorelli@hotmail.com,,,,,Rosario,Cayetano Silva 1566 – Puerto General San Martín,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Facar,,,,,,,,,,,ventas@facar.com.ar,,,,,Pérez,Dr. Ghio 568 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
FAC Servicios Industriales,,,,,,,,,,,facserviciosind@gmail.com,,,,,San Lorenzo,Ruta 11 1495 – Puerto General San Martín,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
EYCOM Servicios,,,,,,,,,,,eycomservicios@gmail.com,,,,,San Lorenzo,General López 497 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EXPRESS CORP,,,,,,,,,,,,,,,,Rosario,"Alem 687 , San Lorenzo",https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EVONIK,1,SI,SI,PRESENTACION ENVIADA,SI,VIANDA,VIANDERIA,12/25,,,matias.gonzalez@evonik.com,34156182835,MATIAS,,,,San Martín 191 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
ESTUDIO JURÌDICO BARRINAT,,,,,,,,,,,estudiobarrinataux@gmail.com,,,,,San Lorenzo,Pasaje Soaje 5040 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
ESSENTY,,,,,,,,,,,veronicatamagno@gmail.com,,,,,San Lorenzo,Garay 668 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EQUIPAMIENTO SAN LORENZO,,,,,,,,,,,ventas@equipamientosanlorenzo.com,,,,,San Lorenzo,Reconquista 1702 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EPRECO,1,NO,,ANDRES,,,,,,,,,,,,,Centeno 442 – Ricardone,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EPRECCO PIÑEIRO,1,si,aceptado,arranca oct,no,vianda,papagayo,,1309,,,3415029950,marcelo titular,no,,,José Márquez 660 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
ELECTRO CONSTRUCTORA S.R.L.,,,,,,,,,,,federico@electroconstructorasrl.com.ar,,,,,Rosario,Córdoba 2334 Piso 9 Oficina A – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EL LIBERTADOR,,,,,,,,,,,operaciones@ellibertador.net,,,,,San Lorenzo,Camino de los Granaderos Km 2 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EL HAUAR,,,,,,,,,,,p_mayotto@elahuar.com,,,,,San Lorenzo,Av. San Martin 2249 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
EDILIZIA S.A.,,,,,,,,,,,administracion@edilizia.com.ar,,,,,Rosario,San Luis 485 – San Lorenzo – Santa Fe,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Comercial / compras
